"","Organism","Limb.width","Limb.length","Observer"
"1","Homo sapiens",4.13,461,"Regan V"
"2","Antheraea polyphemus",0.08,1.67,"Fergus H"
"3","Grus americana",1.54,376,"Gideon J"
"4","Antheraea polyphemus",0.05,0.14,"Regan V"
"5","Grus americana",1.32,145,"Seyha K"
"6","Breviceps macrops",0.19,0.33,"Regan V"
"7","Antheraea polyphemus",0.02,1.14,"Fergus H"
"8","Homo sapiens",3.34,504,"Seyha K"
"9","Grus americana",1.42,205,"Regan V"
"10","Breviceps macrops",0.11,0.31,"Gideon J"
"11","Breviceps macrops",0.24,0.37,"Seyha K"
